OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
355,98775,AK6397915284020000610,SPIRIT LAKE,2000,6,10,411723.182204551,2068466995.30808,Wildfire
356,53368,AK6398014635320140510,1 OKLAHOMA RANGE,2014,5,10,284865.38983884,1113757197.0462,Prescribed Fire
360,56932,AK6398915063220130625,SANDLESS LAKE,2013,6,25,639535.805303331,1200572829.77285,Wildfire
363,46475,AK6400215979220150620,OLD WOMAN,2015,6,20,404968.431140296,977268838.074342,Wildfire
367,89279,AK6402414159320040622,TAYLOR HIGHWAY COMPLEX (WALL STREET),2004,6,22,391223.782916615,1875601766.91519,Wildfire
383,33500,AK6393815799520050725,LITTLE MUD RIVER #1,2005,7,25,282595.714781909,699777149.963874,Wildfire
384,62240,AK6393915220320130622,BEAVER LOG LAKES,2013,6,22,311141.211718504,1305847007.7587,Wildfire
392,38398,AK6395914637020090501,OKLAHOMA 2,2009,5,1,144532.500641802,802955011.0466,Wildfire
395,134924,AK6418515356620090613,NOWITNA,2009,6,13,757716.820850242,2878499667.62057,Wildland Fire Use
399,87861,AK6422214875720090802,RAILBELT COMPLEX (REX CREEK),2009,8,2,248426.446891657,1872212669.91082,Wildfire
401,79220,AK6422715624420050730,EAST FORK YUKI RIVER,2005,7,30,545621.1230765,1694440816.01387,Wildfire
402,78230,AK6422914089220050628,SMITH CREEK,2005,6,28,330464.454383729,1667824908.41813,Wildfire
403,39211,AK6423315310020150626,SETHKOKNA,2015,6,26,335188.443155492,837012097.495027,Wildfire
407,68820,AK6424415799020000625,YUKON CREEK,2000,6,25,334093.835102962,1468792944.05171,Wildfire
410,37978,AK6426114723720150621,BLAIR,2015,6,21,334563.653474739,811022587.834426,Wildfire
412,44423,AK6426615431620130621,SULATNA RIVER,2013,6,21,311526.638792262,948389626.938647,Wildfire
415,43371,AK6428114168920040703,LUCKY CREEK,2004,7,3,303861.406096181,928161083.839893,Wildfire
417,62508,AK6406014607919980521,CARLA LAKE,1998,5,21,375813.171864099,1316556416.28481,Wildfire
420,127573,AK6407715233220020605,SISCHU,2002,6,5,394890.774078581,2690167547.5214,Wildfire
421,94290,AK6407715636220050628,CAMP CREEK,2005,6,28,685337.790178918,1981609722.55476,Wildfire
426,100672,AK6410015373320150620,SEA,2015,6,20,651953.557625816,2116495976.9117,Wildfire
428,33081,AK6410815737320050727,LITTLE MUD RIVER 2,2005,7,27,332911.172605981,698012855.312991,Wildfire
434,48653,AK6412414489420110526,EASTVOLKMAR,2011,5,26,603161.163210851,1032337940.51306,Wildfire
438,39542,AK6415215082120000624,BEARPAW MT,2000,6,24,271612.975121403,838327253.415779,Wildfire
442,73270,AK6417715547020020721,LONG CREEK,2002,7,21,281883.522416155,1556273318.9653,Wildfire
444,120133,AK6445414789820090712,WOOD RIVER 1,2009,7,12,416751.89123082,2603270304.41899,Wildland Fire Use
445,40457,AK6445615319920020608,BIG MUD,2002,6,8,243713.362885357,876801944.366107,Wildfire
448,120372,AK6446715114520090617,ZITZIANA,2009,6,17,811593.923521187,2610945188.45055,Wildfire
451,125276,AK6447814879320060607,PARKS HWY,2006,6,7,472840.611020835,2719492337.37647,Wildfire
453,49047,AK6448314731620120623,DRY CREEK,2012,6,23,315612.128465862,1072133383.07447,Wildfire
458,39092,AK6450115234620050809,CHITANATALA MOUNTAINS,2005,8,9,242583.020955115,850055227.063143,Wildfire
459,149819,AK6451514109620050712,BOUNDARY CREEK,2005,7,12,522747.601203679,3261021401.90988,Wildfire
461,260205,AK6452215036320020608,GESKAKMINA LAKE,2002,6,8,815008.440884133,5657631191.74147,Wildfire
466,49787,AK6430214514520030614,SAND CREEK,2003,6,14,258857.32041675,1067017353.51684,Wildfire
472,83362,AK6431714867020010620,FISH CREEK,2001,6,20,519745.727465903,1788622431.96755,Wildfire
477,39035,AK6434215802720150622,YUKON CREEK,2015,6,22,407798.936446778,836882397.955867,Wildfire
479,146447,AK6434715059120100604,TOKLAT 2,2010,6,4,966960.482798401,3123896253.28501,Wildfire
482,157456,AK6436515258220090711,TITNA RIVER,2009,7,11,1114636.48210339,3390154131.4218,Wildland Fire Use
483,39630,AK6437014133320040622,EAGLE COMPLEX (KING CREEK),2004,6,22,385543.157624149,853584765.638913,Wildfire
492,56568,AK6465015176720150623,LLOYD,2015,6,23,333753.332154598,1245858842.82299,Wildfire
496,43011,AK6467015370020090710,LITTLE MUD,2009,7,10,562778.071289348,945044206.443614,Wildland Fire Use
498,167771,AK6467315092520000613,ZITZIANA,2000,6,13,537314.982887264,3694317890.84086,Wildfire
499,141022,AK6467415292620150622,BIG MUD RIVER 1,2015,6,22,931744.543011147,3104104896.37191,Wildfire
505,87982,AK6470014646720130619,STUART CREEK #2,2013,6,19,330990.384048789,1950263678.25255,Wildfire
515,40950,AK6454015324720160602,BIG MUD,2016,6,2,247002.476797897,894666393.141398,Wildfire
519,173441,AK6455214506920040623,CAMP CREEK,2004,6,23,767597.915374873,3767999444.59878,Wildfire
525,407462,AK6457315474120150703,MIDDLE YUKON FIRES,2015,7,3,2576928.89297131,8884525220.3444,Wildfire
526,98482,AK6457415277820000627,GRAND CREEK,2000,6,27,581597.573895736,2152857731.6265,Wildfire
528,241856,AK6457815738420040628,BONANZA CREEK,2004,6,28,866667.596171285,5288862292.51629,Wildfire
529,523527,AK6457914968420090621,RAILBELT COMPLEX (MINTO FLATS SOUTH),2009,6,21,1130038.30957938,11449686358.5923,Wildfire
537,34216,AK6462715405119850731,531035,1985,7,31,145795.013209796,750900194.202176,Wildfire
541,40430,AK6481715242020030622,BIG MUD,2003,6,22,202666.001612172,899769089.624652,Wildfire
548,51057,AK6487515869920050701,GISASA RIVER,2005,7,1,339442.242064126,1137653821.69203,Wildfire
550,32002,AK6488714626520040717,TORS,2004,7,17,184728.615536308,715904456.135254,Wildfire
551,95081,AK6489214176420040615,EAGLE COMPLEX (DEER CREEK),2004,6,15,488622.510383897,2127924699.94882,Wildfire
553,43846,AK6490715377620090707,BERING CREEK 2,2009,7,7,419702.877707459,982353617.772114,Wildland Fire Use
555,61224,AK6495115206620050616,BONEY CREEK,2005,6,16,317411.229980706,1376208228.1985,Wildfire
558,35728,AK6473015815220150621,NULATO,2015,6,21,529669.404835864,794222363.853063,Wildfire
560,188055,AK6473615334020050611,LITTLE MUD 2,2005,6,11,710854.219783733,4160348165.56141,Wildfire
562,35577,AK6475415175720100526,CHITANATALA,2010,5,26,306235.589224276,788096527.360973,Wildfire
580,84240,AK6513015296720150623,BLIND RIVER,2015,6,23,630334.766989337,1915128778.59642,Wildfire
586,176909,AK6517015206620150619,TANANA AREA FIRES,2015,6,19,859289.475795566,4079234614.46833,Wildfire
596,37598,AK6498315160020150621,HARPER BEND,2015,6,21,247247.653365542,844477266.963608,Wildfire
597,76296,AK6498315355020150622,BERING CREEK,2015,6,22,460527.738314526,1722683236.69041,Wildfire
598,204488,AK6498315643420050725,HOLTNATKATNA CREEK,2005,7,25,601352.143500485,4607662963.87513,Wildfire
599,136741,AK6500015308820000614,BERING CREEK,2000,6,14,849685.324379129,3084937474.63646,Wildfire
607,48365,AK6505014121719990613,JESSICA,1999,6,13,394234.828292111,1095226115.16939,Wildfire
611,86220,AK6508315160020150621,HAY SLOUGH,2015,6,21,715469.223186657,1954892543.76507,Wildfire
615,36195,AK6509614313419910621,132339,1991,6,21,287656.338881456,822463958.124507,Wildfire
616,37893,AK6510015465020150623,GLACIER,2015,6,23,267264.921597501,863691415.315699,Wildfire
627,47589,AK6529614185119990612,WITCH,1999,6,12,320557.482711396,1097779530.18294,Wildfire
628,81281,AK6530315074320090618,STEVENS CREEK 1,2009,6,18,659237.292982601,1876038765.4435,Wildfire
637,41717,AK6533015685520070705,COFFEE CAN LAKE,2007,7,5,325283.392400844,964791994.81114,Wildland Fire Use
639,32760,AK6533314445620150615,BIRCH CREEK 2,2015,6,15,388881.561118624,760164278.486812,Wildfire
641,180266,AK6518415621520150623,HOLTNAKATNA,2015,6,23,1120273.03146327,4184395233.94847,Wildfire
644,30878,AK6520014831720150622,AGGIE CREEK,2015,6,22,238821.066777011,709403818.38543,Wildfire
646,228337,AK6520614551720040607,CENTRAL COMPLEX (WOLF CREEK),2004,6,7,1175147.47898949,5231720150.81217,Wildfire
655,76381,AK6523314145320040615,NATION RIVER,2004,6,15,486122.955677678,1753605244.85199,Wildland Fire Use
662,538167,AK6526314694320040613,BOUNDARY,2004,6,13,1429323.74504692,12383762743.4314,Wildfire
663,31606,AK6526415457719990627,BIG CREEK,1999,6,27,209650.953712334,727320096.2809,Wildfire
664,84989,AK6526715621720150619,DULBI RIVER,2015,6,19,432461.350990506,1941759529.64653,Wildfire
665,107420,AK6527414888420020523,MILEPOST 78,2002,5,23,597664.161883723,2473972708.7953,Wildfire
673,54003,AK6744214352620040629,SOLSTICE COMPLEX (BOULDER CREEK),2004,6,29,526653.950030388,1484721632.84484,Wildfire
678,438772,AK6750714227819900629,FYU NE 85,1990,6,29,1375788.86691482,12074811016.8383,Wildfire
749,250287,AK6913315063620070716,ANAKTUVUK RIVER,2007,7,16,772135.243603392,7943456994.40514,Wildfire
761,35140,AK6755714325519850730,FYU NE 80,1985,7,30,408588.921672897,971086192.687582,Wildfire
773,245352,AK6761114190620050724,RABBIT MOUNTAIN,2005,7,24,1312353.57625949,6811285783.15264,Wildfire
796,53691,AK6781116236520120703,UVGOON CREEK #1,2012,7,3,398511.516116265,1524915633.95397,Wildfire
812,87928,AK6782816239719990626,UVGOON CREEK #2,1999,6,26,597765.350013776,2486518334.15233,Wildfire
953,46373,AK6562914935919910622,132376,1991,6,22,319726.182224343,1097271796.3243,Wildfire
954,429669,AK6563215247220040612,NORTH DAG,2004,6,12,925436.704138605,10168985775.4636,Wildfire
959,132667,AK6578314890620050616,FISH CREEK,2005,6,16,569629.169752697,3176562524.09973,Wildfire
961,89983,AK6578915762720150620,THREE DAY,2015,6,20,752465.013650645,2148606227.96558,Wildfire
962,39445,AK6579114430720090726,CRAZY MOUNTAIN COMPLEX (BLUFF CREEK),2009,7,26,446242.360696267,945159523.226781,Wildland Fire Use
964,39907,AK6580114976419930604,332248,1993,6,4,263917.928010279,956885713.03651,Wildfire
968,123334,AK6583714470919900702,032042,1990,7,2,649534.189075053,2965635868.38387,Wildfire
973,333571,AK6666014740219900627,032018,1990,6,27,1648163.42112502,8560498480.20201,Wildfire
976,252963,AK6667114200419990620,KEVINJIK,1999,6,20,1215181.76948559,6498011791.70814,Wildfire
977,109443,AK6667715221319910630,131569,1991,6,30,493340.035507677,2812335729.719,Wildfire
979,54919,AK6669514282519850725,531018,1985,7,25,488499.304330206,1413468308.49236,Wildfire
982,43560,AK6670715154819910630,BTT S 17,1991,6,30,307460.18793492,1122203470.03389,Wildfire
983,30671,AK6670815182820100701,PEAVEY CREEK,2010,7,1,235471.067650973,790210304.196323,Wildfire
984,190655,AK6671415065320050616,NORTH BONANZA,2005,6,16,692212.690289522,4914455575.41079,Wildfire
991,52461,AK6716214578920030629,CORNUCOPIA CREEK,2003,6,29,558085.154364393,1402761668.07047,Wildfire
993,131623,AK6718214232420050724,COLEEN MOUNTAIN,2005,7,24,961529.73522317,3540198070.2091,Wildfire
1004,117276,AK6678514474720050612,SHEENJEK RIVER,2005,6,12,523178.292376547,3040293174.10394,Wildfire
1010,51841,AK6686814890620150622,HARDPAC CREEK,2015,6,22,457674.420030497,1356662498.61395,Wildfire
1020,72061,AK6627314850720100625,PAT CREEK,2010,6,25,407397.845418201,1793006647.04701,Wildfire
1022,530717,AK6628114999320040706,DALL CITY,2004,7,6,1298128.55606111,13213605743.8784,Wildfire
1024,81901,AK6628814168420100602,BIG MOUNTAIN,2010,6,2,435806.565797187,2040305001.58177,Prescribed Fire
1028,51145,AK6679815396820160626,HOGATZA RIVER,2016,6,26,544768.880921893,1327066615.06467,Wildfire
1030,61849,AK6680915094620130620,PROSPECT CREEK,2013,6,20,485574.545755078,1606873756.18212,Wildfire
1032,137996,AK6687815131320040706,EVANSVILLE,2004,7,6,921294.180037883,3604718110.08807,Wildfire
1033,30263,AK6689615349319910703,131655,1991,7,3,334496.553381051,791705981.235712,Wildfire
1034,77975,AK6691114466219880615,832043,1988,6,15,698133.404453591,2042388630.52721,Wildfire
1036,177977,AK6693014731220030624,HADWEENZIC,2003,6,24,1329908.80613754,4668926565.73185,Wildland Fire Use
1041,353547,AK6721914633320040615,PINGO,2004,6,15,1198918.61790002,9498300916.9789,Wildfire
1042,56294,AK6723914430320090702,SHEENJEK,2009,7,2,339204.178083,1514800284.22262,Wildland Fire Use
1047,31344,AK6631115305119900719,BTT SW 53,1990,7,19,319138.425243951,782262899.301692,Wildfire
1051,208873,AK6683814816920050613,NELSON MOUNTAIN,2005,6,13,809276.344790867,5438405260.80855,Wildfire
1071,69061,AK6699414360220090630,ROCK SLOUGH,2009,6,30,711259.334412238,1824108125.0696,Wildfire
1074,32882,AK6585616025320110526,FISHRIVER,2011,5,26,254342.337113185,791240550.54133,Wildfire
1077,61750,AK6635014986720150620,WEST FORK,2015,6,20,499182.652122562,1547316485.97437,Wildfire
1080,41024,AK6636615838420030618,KERULU CREEK,2003,6,18,255468.798850104,1028318817.24326,Wildland Fire Use
1088,61375,AK6538315717619900702,GAL N 38,1990,7,2,431385.981444021,1425199444.09391,Wildfire
1091,35623,AK6702115448519910701,BTT W 64,1991,7,1,414924.064348599,943069316.936763,Wildfire
1094,220213,AK6586715326720150622,TOBATOKH,2015,6,22,1080787.40230061,5276158140.71094,Wildfire
1095,192796,AK6586915468120150622,ISAHULTILA,2015,6,22,769478.514767126,4712961712.29802,Wildfire
1096,54731,AK6586915575620160626,DULBI FLATS,2016,6,26,516145.973879584,1318998443.02249,Wildfire
1100,86397,AK6636814584520040707,LOWER MOUTH,2004,7,7,1307663.68082424,2163633037.73335,Wildfire
1116,34833,AK6590014918320150623,HAMLIN CREEK,2015,6,23,298544.831791846,842739099.37563,Wildfire
1118,79003,AK6590514549519850806,531047,1985,8,6,471146.10982147,1912263789.76854,Wildfire
1123,255606,AK6640514222320050719,SALMON FORK,2005,7,19,859334.576095193,6427049571.14068,Wildfire
1127,83354,AK6641514315619910626,132460,1991,6,26,473768.007884651,2097481223.03296,Wildfire
1128,34913,AK6642114648920100712,CANVASBACK LAKE,2010,7,12,282116.46293116,878960267.963426,Wildfire
1130,33126,AK6543915545119850713,GAL NE 57,1985,7,13,241673.052273718,772536343.909562,Wildfire
1131,44582,AK6544214924120040809,MUD FORK 2,2004,8,9,438944.083412181,1043327189.59549,Wildfire
1132,45333,AK6545414341319860629,EUREKA CK,1986,6,29,341927.160164164,1058358285.61299,Wildfire
1138,31355,AK6705215599120160702,MAUNELUK RIVER 2,2016,7,2,356275.949277344,830220505.937366,Wildfire
1139,132518,AK6705614376919880627,FYU NE 50,1988,6,27,1037744.19712418,3512362121.32689,Wildfire
1140,295961,AK6706314516120040615,WINTER TRAIL,2004,6,15,1706590.57055373,7791377800.99953,Wildfire
1142,165403,AK6707615031720050530,CHAPMAN CREEK,2005,5,30,711946.481720152,4391265063.98261,Wildfire
1145,301226,AK6593014500220040614,CENTRAL COMPLEX,2004,6,14,1135435.61760776,7314008456.58119,Wildfire
1146,102795,AK6593215049020050616,RAY RIVER,2005,6,16,677904.965523227,2489959659.90117,Wildfire
1149,106995,AK6594015130020150620,TORMENT CREEK,2015,6,20,518869.416047524,2592548906.96639,Wildfire
1152,57065,AK6595114875019910622,LIV N 18,1991,6,22,481165.795322097,1384405967.67661,Wildfire
1161,75170,AK6549014175120050611,CHARLEY CREEK 1,2005,6,11,508796.503324402,1759861110.35969,Wildfire
1163,36937,AK6549815180019860701,TAL N 20,1986,7,1,306724.608968309,865291841.437407,Wildfire
1169,34707,AK6715415315120160626,INIAKUK LAKE,2016,6,26,534609.751640377,926552873.768628,Wildfire
1173,100680,AK6597114952620040615,YUKON CROSSING COMPLEX,2004,6,15,542869.393791746,2446219660.47963,Wildfire
1177,143048,AK6598315436620150619,ROCK,2015,6,19,798104.375067024,3489202084.66488,Wildfire
1179,294208,AK6599614579119880629,832604,1988,6,29,1332354.36170419,7162599479.1771,Wildfire
1181,36498,AK6599814113120100531,BULL CREEK,2010,5,31,245476.921656746,888691425.104343,Prescribed Fire
1188,50271,AK6550214403420090726,CRAZY MOUNTAIN COMPLEX (JAGGED RIDGE),2009,7,26,484571.286319631,1176961689.74029,Wildfire
1189,57657,AK6550615180320050729,TOZITNA RIVER,2005,7,29,217867.540723365,1351460430.25841,Wildfire
1194,53647,AK6564914159320040617,EAGLE COMPLEX (KANDIK RIVER),2004,6,17,402642.531554565,1270471987.07085,Wildfire
1197,39549,AK6566515910220020719,TAG RIVER #1,2002,7,19,281973.200078518,938419408.165837,Wildfire
1200,258867,AK6568614509320040713,CENTRAL COMPLEX (CRAZY AND BOLGEN CREEK),2004,7,13,989872.053714732,6145436079.98809,Wildfire
1203,118333,AK6603215302220150621,SUSHGITIT HILLS,2015,6,21,761192.905195475,2893991142.67893,Wildfire
1210,45008,AK6552614102419990619,BIG OL MONSTER,1999,6,19,444984.860201213,1056575665.82999,Wildfire
1213,110192,AK6571014083120050612,BIG SITDOWN CREEK 2,2005,6,12,755954.11720479,2623767265.58764,Wildfire
1217,175022,AK6604514658820090718,BIG CREEK,2009,7,18,682101.791007089,4277419643.59619,Wildland Fire Use
1228,69376,AK6571714556620050612,PREACHER CREEK,2005,6,12,343441.568155795,1652748489.04423,Wildfire
1229,45340,AK6571715258320150623,HOLONADA,2015,6,23,379403.737130108,1078455261.98044,Wildfire
1233,60782,AK6606114286419930606,3322292,1993,6,6,480831.614681685,1495544542.66802,Wildfire
1240,108330,AK6655915152120040706,CLAWANMENKA LAKE,2004,7,6,855575.499699319,2757580698.02035,Wildfire
1242,286203,AK6555414313620040614,EDWARDS CREEK,2004,6,14,1075251.43845121,6733261211.47574,Wildfire
1245,59011,AK6556015349819990627,MELOZI MORAN,1999,6,27,420109.458695133,1388899024.93492,Wildfire
1257,346582,AK6613014349620090620,CRAZY MOUNTAIN COMPLEX (LITTLE BLACK ONE),2009,6,20,1333179.24656337,8527005636.19985,Wildland Fire Use
1259,35956,AK6613414419520080702,THREE LAKES,2008,7,2,426543.75568599,884905893.463644,Wildfire
1261,239052,AK6614015193120050616,OLD DUMMY,2005,6,16,953263.116671262,5886108652.00638,Wildfire
1264,41822,AK6659615750720100624,KILIOVILIK CREEK,2010,6,24,176798.280551512,533888777.881886,Wildfire
1265,30133,AK6659714180119940729,FYU E 76,1994,7,29,264583.972723905,769239105.830703,Wildfire
1274,51593,AK6615214236320040626,GRAYLING FORK,2004,6,26,674566.832340245,1271466086.44936,Wildfire
1283,57622,AK6661815405320160706,HOG,2016,7,6,351235.945266808,1473448358.29359,Wildfire
1286,187810,AK6662314932320040812,HODZANA RIVER,2004,8,12,974981.242286268,4805742643.90571,Wildfire
1297,156505,AK6581814150820050611,KANDIK RIVER,2005,6,11,522053.34663666,3757763795.40113,Wildfire
1300,40473,AK6583114686019910625,CEM E 55,1991,6,25,266843.970953426,972695184.293934,Wildfire
1301,214280,AK6583214355319930714,332557,1993,7,14,733065.646594148,5150325829.71795,Wildfire
1308,46088,AK6558714195719990613,PINGO,1999,6,13,539561.686703351,1086995624.75599,Wildfire
1312,184179,AK6560814764620050620,BEAVER CREEK,2005,6,20,866899.539231559,4351069574.59445,Wildfire
1316,42649,AK6562514367120090723,PADDLE,2009,7,23,372615.592895561,1008814718.92736,Wildland Fire Use
1317,119668,AK6562714891520030617,ERICKSON CREEK,2003,6,17,679655.785410041,2831129667.16157,Wildfire
